Step,ABSA: total assets,ABSA: total equity ,ABSA: total asset sales,SBSA: total assets,SBSA: total equity,SBSA: total asset sales,CAPITEC: total assets,CAPITEC: total equity,CAPITEC: total asset sales,Nedbank: total assets,Nedbank: total equity,Nedbank: total asset sales,AFRICAN BANK: total assets,AFRICAN BANK: total equity,AFRICAN BANK: total asset sales,Bidvest: total assets,Bidvest: total equity,Bidvest: total asset sales,STANDARD CHARTERED: total assets,STANDARD CHARTERED: total equity,STANDARD CHARTERED: total asset sales,Investec: total assets,Investec: total equity,Investec: total asset sales,VBS MUTUAL BANK: total assets,VBS MUTUAL BANK: total equity,VBS MUTUAL BANK: total asset sales,SASFIN: total assets,SASFIN: total equity,SASFIN: total asset sales,BANK OF BARODA: total assets,BANK OF BARODA: total equity,BANK OF BARODA: total asset sales,UBANK: total assets,UBANK: total equity,UBANK: total asset sales,CITIBANK: total assets,CITIBANK: total equity,CITIBANK: total asset sales,DEUTSCHE BANK: total assets,DEUTSCHE BANK: total equity,DEUTSCHE BANK: total asset sales,ALBARAKA BANK: total assets,ALBARAKA BANK: total equity,ALBARAKA BANK: total asset sales,HABIB OVERSEAS: total assets,HABIB OVERSEAS: total equity,HABIB OVERSEAS: total asset sales,BANK OF TAIWAN SA BRANCH: total assets,BANK OF TAIWAN SA BRANCH: total equity,BANK OF TAIWAN SA BRANCH: total asset sales,GRINDROD: total assets,GRINDROD: total equity,GRINDROD: total asset sales,JPMORGAN: total assets,JPMORGAN: total equity,JPMORGAN: total asset sales,BANK OF CHINA JHB: total assets,BANK OF CHINA JHB: total equity,BANK OF CHINA JHB: total asset sales,SA BANK OF ATHENS: total assets,SA BANK OF ATHENS: total equity,SA BANK OF ATHENS: total asset sales,MERCANTILE BANK: total assets,MERCANTILE BANK: total equity,MERCANTILE BANK: total asset sales,HBZ: total assets,HBZ: total equity,HBZ: total asset sales,FINBOND MUTUAL: total assets,FINBOND MUTUAL: total equity,FINBOND MUTUAL: total asset sales,BANK OF INDIA JHB: total assets,BANK OF INDIA JHB: total equity,BANK OF INDIA JHB: total asset sales,SOCIETE GENERALE JHB: total assets,SOCIETE GENERALE JHB: total equity,SOCIETE GENERALE JHB: total asset sales,HONGKONG SHANGHAI BANKING CORP JHB: total assets,HONGKONG SHANGHAI BANKING CORP JHB: total equity,HONGKONG SHANGHAI BANKING CORP JHB: total asset sales,HONGKONG SHANGHAI BANKING CORP JHB: total assets,HONGKONG SHANGHAI BANKING CORP JHB: total equity,HONGKONG SHANGHAI BANKING CORP JHB: total asset sales,CHINA CONSTR BANK JHB: total assets,CHINA CONSTR BANK JHB: total equity,CHINA CONSTR BANK JHB : total asset sales,ASSETS SOLD ACROSS SYSTEM OF ALL CLASSES
1,890859477.946521,55051817.199999996,-33462566.25347899,890859477.946521,83192956.9,-39329401.23545425,45048038.6145515,9491116.042467514,-13356801.427916015,782051077.3765799,55781312.9070562,-24766037.530476272,32051119.8524241,4134078.899999999,-22501996.0475759,6017210.0,2227642.0,0.0,38420025.0,3688896.0,0.0,373887769.00840557,24061989.601078063,-2954800.592672446,651776.7271898005,221250.90000000002,-43679.17281019949,5545462.0,886703.0,0.0,2268524.0,246313.0,-420675.19078029523,4217849.420381439,466858.6111617343,-420675.19078029523,76209570.2210934,5103079.953997359,-281621.82290395646,22755256.0,1433355.0,0.0,5026469.0,585356.0,0.0,1315591.8082055124,109249.4,-2358.5917944876273,,300691.9,-2358.5917944876273,11226904.53669038,832695.6997469849,-35579.16305660536,57035796.0,3246873.0,0.0,35643161.0,4178651.0,0.0,2503995.1712787044,256167.6,-5540.42872129565,9638488.223673847,2038219.6,,4315852.644349292,316336.5,-90000.85565070852,1294385.4188603126,,-75731.47557923466,477538.9508730483,278808.4,-397.44912695174105,11725587.264589645,,-194.03541035576913,49805819.0,3919312.0,0.0,49805819.0,3919312.0,0.0,32620991.0,1617383.0,0.0,-179455442.03952503
2,890838886.194475,55050544.70596752,-19319.2580134385,890838886.194475,83191332.54460374,-21243.33885927619,45047678.31031698,9491040.13040995,-284.3921769559967,782036087.6024567,55780243.73228621,-13920.599353218799,32050681.40897446,4134022.3478476144,-381.8912972541923,6017199.7323292205,2227638.1987873665,-6.466458146011707,38419735.05340162,3688868.160797735,-262.10739612138383,373881090.7276718,24061559.81242251,-6248.49207823194,651773.1749501696,221249.6941634266,-2.3464030574495194,5545434.976369891,886698.6790013368,-9.507122803729505,2268513.3348734374,246311.84199624116,-24.87417277050683,4217821.450300856,466855.51525392116,-24.87417277050683,76208399.66642964,5103001.572318754,-1092.1729851454825,22754843.087723814,1433328.9906298732,-386.9029060599493,5026412.8929682365,585349.4660717723,-49.57310353580599,1315580.5369252556,109248.46401013019,-10.335290386930353,,300689.1472258888,-10.335290386930353,11226783.300963543,832686.7077342655,-112.24371411849839,57035355.96321969,3246847.9500552076,-414.98683551877747,35642788.262743376,4178607.3018860724,-329.0391426927124,2503965.548434128,256164.569477782,-26.592322358415274,9638428.766947005,2038207.0268803171,,4315803.671633071,316332.91047576896,-45.383191988638444,1294381.4898713923,,-2.3450965561041035,477537.8220930783,278807.7409682356,-0.469748205527572,11725453.209763369,,-126.43124089281159,49805298.83505192,3919271.0672583254,-479.23220641287674,49805298.83505192,3919271.0672583254,-479.23220641287674,32620485.564907588,1617357.9399971915,-480.37508960431455,-79773.6554926698
3,890838875.8617171,55050544.067441344,-9.694231752756915,890838875.8617171,83191331.7143373,-10.858234046975092,45047678.26438083,9491040.120731719,-0.036257920038848486,782036079.9920785,55780243.18946119,-7.06755321533364,32050681.343369957,4134022.339385689,-0.05714257920433619,6017199.727644255,2227638.197052937,-0.002950536182668262,38419734.90856105,3688868.146890878,-0.13093371272139678,373881087.1417185,24061559.581644244,-3.3551750476023634,651773.1738050478,221249.6937747057,-0.0007564009616570747,5545434.963360771,886698.6769212168,-0.004814846863457533,2268513.3294721236,246311.84140977447,-0.008420315880877442,4217821.440832524,466855.51420590555,-0.008420315880877442,76208399.0311565,5103001.529780138,-0.5927345296770772,22754842.875942558,1433328.9772897589,-0.19844113863516985,5026412.863998887,585349.4626981551,-0.02559573211661839,1315580.5322131277,109248.46361882555,-0.004320823469755534,,300689.14575144794,-0.004320823469755534,11226783.248844601,832686.7038686213,-0.04825329762490546,57035355.72114482,3246847.936274627,-0.22829429085448427,35642788.04509838,4178607.276370309,-0.19212923016351488,2503965.5325328526,256164.56785102503,-0.014274518576755576,9638428.735376347,2038207.0202041734,,4315803.6510179965,316332.90896475804,-0.019104063798122094,1294381.4891648276,,-0.0004217274603901941,477537.8215932753,278807.7406764284,-0.000207995885123513,11725453.151319358,,-0.055120346345727995,49805298.55259671,3919271.045031403,-0.2602282822992077,49805298.55259671,3919271.045031403,-0.2602282822992077,32620485.26828952,1617357.9252905564,-0.2819114272860146,-40.230497480192845
4,890838875.8564928,55050544.067118496,-0.004901549862459089,890838875.8564928,83191331.7139167,-0.0055006888892273585,45047678.264359616,9491040.12072725,-1.6740521933287987e-05,782036079.9882277,55780243.18918652,-0.0035761584403385042,32050681.343339052,4134022.3393817027,-2.691876575455224e-05,6017199.727641888,2227638.1970520606,-1.4911439903734688e-06,38419734.908487484,3688868.1468838146,-6.650313585111788e-05,373881087.13989854,24061559.581527118,-0.0017028371809792158,651773.173804479,221249.69377451262,-3.756802460663853e-07,5545434.96335422,886698.6769201694,-2.44243768621716e-06,2268513.329469384,246311.84140947697,-4.204667501291143e-06,4217821.440827796,466855.5142053822,-4.204667501291143e-06,76208399.03083321,5103001.529758491,-0.0003016378233908938,22754842.875835247,1433328.9772829993,-0.00010055333611934159,5026412.8639842365,585349.4626964489,-1.2944914696791676e-05,1315580.5322107587,109248.46361862883,-2.172273216106813e-06,,300689.14575069974,-2.172273216106813e-06,11226783.248818416,832686.7038666792,-2.424230692884689e-05,57035355.72102162,3246847.936267614,-0.00011618595342161611,35642788.0449869,4178607.276357239,-9.841115329254756e-05,2503965.5325247846,256164.56785019964,-7.2426442706973146e-06,9638428.735360347,2038207.0202007897,,4315803.651007626,316332.90896399785,-9.610938434950845e-06,1294381.4891644886,,-2.022907380660646e-07,477537.82159302407,278807.7406762818,-1.0452652586010231e-07,11725453.15128982,,-2.785833928311576e-05,49805298.5524527,3919271.045020071,-0.00013267628418645638,49805298.5524527,3919271.045020071,-0.00013267628418645638,32620485.268137135,1617357.9252830008,-0.00014483198386660242,-0.020361669547520136
5,890838875.85649,55050544.06711833,-2.48067433846737e-06,890838875.85649,83191331.7139165,-2.784371960413597e-06,45047678.26435961,9491040.120727248,-8.449142995541428e-09,782036079.9882257,55780243.18918638,-1.8099574518596361e-06,32050681.343339037,4134022.339381701,-1.359283197305143e-08,6017199.727641886,2227638.19705206,-7.548816844440927e-10,38419734.90848744,3688868.146883811,-3.368160949051898e-08,373881087.13989764,24061559.581527058,-8.619981152377714e-07,651773.1738044787,221249.69377451253,-1.90016637681948e-10,5545434.963354217,886698.6769201688,-1.23664580800842e-09,2268513.3294693828,246311.84140947682,-2.127909014768935e-09,4217821.440827793,466855.5142053819,-2.127909014768935e-09,76208399.03083305,5103001.529758479,-1.5275077746775298e-07,22754842.87583519,1433328.9772829958,-5.090474410971971e-08,5026412.863984229,585349.4626964481,-6.551018434395055e-09,1315580.5322107573,109248.46361862872,-1.0996734565224023e-09,,300689.14575069933,-1.0996734565224023e-09,11226783.248818401,832686.7038666783,-1.2267979402003466e-08,57035355.721021555,3246847.93626761,-5.8830567027423225e-08,35642788.044986844,4178607.2763572326,-4.98631138661726e-08,2503965.5325247804,256164.56785019924,-3.6662031344934743e-09,9638428.73536034,2038207.020200788,,4315803.651007621,316332.90896399744,-4.864783264648029e-09,1294381.4891644884,,-1.0221739379425493e-10,477537.82159302395,278807.74067628174,-5.289269240571793e-11,11725453.151289806,,-1.4110789451339342e-08,49805298.552452624,3919271.0450200653,-6.720693792714642e-08,49805298.552452624,3919271.0450200653,-6.720693792714642e-08,32620485.268137056,1617357.925282997,-7.341353325102827e-08,-1.0306067731390501e-05
6,890838875.85649,55050544.06711833,-1.255577070110359e-09,890838875.85649,83191331.7139165,-1.4093132812779902e-09,45047678.26435961,9491040.120727248,-4.276174791131174e-12,782036079.9882257,55780243.18918638,-9.160992784352012e-10,32050681.343339037,4134022.339381701,-6.8794049022821375e-12,6017199.727641886,2227638.19705206,-3.820927560340742e-13,38419734.90848744,3688868.146883811,-1.7049108755481687e-11,373881087.13989764,24061559.581527058,-4.3630151448619584e-10,651773.1738044787,221249.69377451253,-9.617334377344293e-14,5545434.963354217,886698.6769201688,-6.259476063178105e-13,2268513.3294693828,246311.84140947682,-1.0770643096693204e-12,4217821.440827793,466855.5142053819,-1.0770643096693204e-12,76208399.03083305,5103001.529758479,-7.73183623581137e-11,22754842.87583519,1433328.9772829958,-2.576599017954622e-11,5026412.863984229,585349.4626964481,-3.315721646649273e-12,1315580.5322107573,109248.46361862872,-5.566228273045668e-13,,300689.14575069933,-5.566228273045668e-13,11226783.248818401,832686.7038666783,-6.209418001447766e-12,57035355.721021555,3246847.93626761,-2.977788532421242e-11,35642788.044986844,4178607.2763572326,-2.52405618427511e-11,2503965.5325247804,256164.56785019924,-1.8556467161417622e-12,9638428.73536034,2038207.020200788,,4315803.651007621,316332.90896399744,-2.4623607078408196e-12,1294381.4891644884,,-5.1734257108892833e-14,477537.82159302395,278807.74067628174,-2.6771325138053398e-14,11725453.151289806,,-7.1428822449085576e-12,49805298.552452624,3919271.0450200653,-3.401936344000163e-11,49805298.552452624,3919271.0450200653,-3.401936344000163e-11,32620485.268137056,1617357.925282997,-3.7163319330857505e-11,-5.216397018144114e-09
7,890838875.85649,55050544.06711833,-6.35506990533622e-13,890838875.85649,83191331.7139165,-7.133211875066421e-13,45047678.26435961,9491040.120727248,-2.1643724503700243e-15,782036079.9882257,55780243.18918638,-4.636812155920924e-13,32050681.343339037,4134022.339381701,-3.4819824658389687e-15,6017199.727641886,2227638.19705206,-1.9339598849308758e-16,38419734.90848744,3688868.146883811,-8.629432025148917e-15,373881087.13989764,24061559.581527058,-2.2083313022044975e-13,651773.1738044787,221249.69377451253,-4.867781792851763e-17,5545434.963354217,886698.6769201688,-3.168230535098305e-16,2268513.3294693828,246311.84140947682,-5.451556500075434e-16,4217821.440827793,466855.5142053819,-5.451556500075434e-16,76208399.03083305,5103001.529758479,-3.91347107433507e-14,22754842.87583519,1433328.9772829958,-1.3041436064390116e-14,5026412.863984229,585349.4626964481,-1.6782416963529514e-15,1315580.5322107573,109248.46361862872,-2.817348932448411e-16,,300689.14575069933,-2.817348932448411e-16,11226783.248818401,832686.7038666783,-3.1428849081302058e-15,57035355.721021555,3246847.93626761,-1.5072048191534815e-14,35642788.044986844,4178607.2763572326,-1.2775571217502062e-14,2503965.5325247804,256164.56785019924,-9.392314457079062e-16,9638428.73536034,2038207.020200788,,4315803.651007621,316332.90896399744,-1.2463219697707252e-15,1294381.4891644884,,-2.6185121239865316e-17,477537.82159302395,278807.74067628174,-1.3550243597280526e-17,11725453.151289806,,-3.615393269707384e-15,49805298.552452624,3919271.0450200653,-1.7218958324381e-14,49805298.552452624,3919271.0450200653,-1.7218958324381e-14,32620485.268137056,1617357.925282997,-1.88103838626769e-14,-2.640267748519479e-12
8,890838875.85649,55050544.06711833,-3.2166039836763824e-16,890838875.85649,83191331.7139165,-3.61045924057778e-16,45047678.26435961,9491040.120727248,-1.0954922245922734e-18,782036079.9882257,55780243.18918638,-2.346911773246913e-16,32050681.343339037,4134022.339381701,-1.7623971546035693e-18,6017199.727641886,2227638.19705206,-9.788697158224055e-20,38419734.90848744,3688868.146883811,-4.367770660991682e-18,373881087.13989764,24061559.581527058,-1.1177419243901346e-16,651773.1738044787,221249.69377451253,-2.4638162969794793e-20,5545434.963354217,886698.6769201688,-1.6035932288313925e-19,2268513.3294693828,246311.84140947682,-2.759294014757656e-19,4217821.440827793,466855.5142053819,-2.759294014757656e-19,76208399.03083305,5103001.529758479,-1.9807954940890763e-17,22754842.87583519,1433328.9772829958,-6.6008953410036686e-18,5026412.863984229,585349.4626964481,-8.494380599211446e-19,1315580.5322107573,109248.46361862872,-1.4259955457563896e-19,,300689.14575069933,-1.4259955457563896e-19,11226783.248818401,832686.7038666783,-1.5907641878800924e-18,57035355.721021555,3246847.93626761,-7.628684717397468e-18,35642788.044986844,4178607.2763572326,-6.466332132901269e-18,2503965.5325247804,256164.56785019924,-4.753898641739558e-19,9638428.73536034,2038207.020200788,,4315803.651007621,316332.90896399744,-6.308232238748135e-19,1294381.4891644884,,-1.3253538251957914e-20,477537.82159302395,278807.74067628174,-6.858425080713198e-21,11725453.151289806,,-1.829925083048371e-18,49805298.552452624,3919271.0450200653,-8.715343284841058e-18,49805298.552452624,3919271.0450200653,-8.715343284841058e-18,32620485.268137056,1617357.925282997,-9.520845504224763e-18,-1.3363655445389316e-15
9,890838875.85649,55050544.06711833,-1.6280768000889604e-19,890838875.85649,83191331.7139165,-1.8274257676904574e-19,45047678.26435961,9491040.120727248,-5.544809089493387e-22,782036079.9882257,55780243.18918638,-1.1878840622849066e-19,32050681.343339037,4134022.339381701,-8.920333087505745e-22,6017199.727641886,2227638.19705206,-4.9545270181419336e-23,38419734.90848744,3688868.146883811,-2.210737372876654e-21,373881087.13989764,24061559.581527058,-5.657425420980484e-20,651773.1738044787,221249.69377451253,-1.2470550119001194e-23,5545434.963354217,886698.6769201688,-8.11655101595462e-23,2268513.3294693828,246311.84140947682,-1.396610460174524e-22,4217821.440827793,466855.5142053819,-1.396610460174524e-22,76208399.03083305,5103001.529758479,-1.0025751960007707e-20,22754842.87583519,1433328.9772829958,-3.3410283119276685e-21,5026412.863984229,585349.4626964481,-4.299411391665247e-22,1315580.5322107573,109248.46361862872,-7.217644495890785e-23,,300689.14575069933,-7.217644495890785e-23,11226783.248818401,832686.7038666783,-8.051616918931038e-22,57035355.721021555,3246847.93626761,-3.861241545244642e-21,35642788.044986844,4178607.2763572326,-3.2729196240839285e-21,2503965.5325247804,256164.56785019924,-2.4061750140404765e-22,9638428.73536034,2038207.020200788,,4315803.651007621,316332.90896399744,-3.19289753129595e-22,1294381.4891644884,,-6.708248274081275e-24,477537.82159302395,278807.74067628174,-3.471376302476774e-24,11725453.151289806,,-9.26212527684449e-22,49805298.552452624,3919271.0450200653,-4.4112515590634236e-21,49805298.552452624,3919271.0450200653,-4.4112515590634236e-21,32620485.268137056,1617357.925282997,-4.818954963499306e-21,-6.763983902219081e-19
10,890838875.85649,55050544.06711833,-8.240473795415514e-23,890838875.85649,83191331.7139165,-9.249474084945993e-23,45047678.26435961,9491040.120727248,-2.806492548099771e-25,782036079.9882257,55780243.18918638,-6.01244823696703e-23,32050681.343339037,4134022.339381701,-4.515006355849716e-25,6017199.727641886,2227638.19705206,-2.507722621404836e-26,38419734.90848744,3688868.146883811,-1.1189597153840831e-24,373881087.13989764,24061559.581527058,-2.863493047430061e-23,651773.1738044787,221249.69377451253,-6.31194065192377e-27,5545434.963354217,886698.6769201688,-4.1081739018299723e-26,2268513.3294693828,246311.84140947682,-7.068912196363199e-26,4217821.440827793,466855.5142053819,-7.068912196363199e-26,76208399.03083305,5103001.529758479,-5.0745116415369524e-24,22754842.87583519,1433328.9772829958,-1.6910539083246747e-24,5026412.863984229,585349.4626964481,-2.17613732119263e-25,1315580.5322107573,109248.46361862872,-3.6531944114927065e-26,,300689.14575069933,-3.6531944114927065e-26,11226783.248818401,832686.7038666783,-4.075307646260632e-25,57035355.721021555,3246847.93626761,-1.9543586548090317e-24,35642788.044986844,4178607.2763572326,-1.6565808588481763e-24,2503965.5325247804,256164.56785019924,-1.2178800263190606e-25,9638428.73536034,2038207.020200788,,4315803.651007621,316332.90896399744,-1.616077848723275e-25,1294381.4891644884,,-3.3953646479997096e-27,477537.82159302395,278807.74067628174,-1.7570292429568243e-27,11725453.151289806,,-4.688003750852889e-25,49805298.552452624,3919271.0450200653,-2.2327449881094562e-24,49805298.552452624,3919271.0450200653,-2.2327449881094562e-24,32620485.268137056,1617357.925282997,-2.4391031554901943e-24,-3.4235751125307083e-22
