bank,period,TAS
HSBC,1,0
HSBC,2,0
HSBC,3,0
HSBC,4,0
HSBC,5,0
HSBC,6,0
HSBC,7,0
CITYBANK,1,-21374226967
CITYBANK,2,-357576813.6
CITYBANK,3,-8088406.448
CITYBANK,4,-191294.9787
CITYBANK,5,-4548.386392
CITYBANK,6,-108.2132873
CITYBANK,7,-2.574750367
INVESTEC,1,0
INVESTEC,2,0
INVESTEC,3,0
INVESTEC,4,0
INVESTEC,5,0
INVESTEC,6,0
INVESTEC,7,0
African Bank,1,0
African Bank,2,0
African Bank,3,0
African Bank,4,0
African Bank,5,0
African Bank,6,0
African Bank,7,0
CAPITEC,1,0
CAPITEC,2,0
CAPITEC,3,0
CAPITEC,4,0
CAPITEC,5,0
CAPITEC,6,0
CAPITEC,7,0
NEDBANK,1,0
NEDBANK,2,0
NEDBANK,3,0
NEDBANK,4,0
NEDBANK,5,0
NEDBANK,6,0
NEDBANK,7,0
FNB,1,0
FNB,2,0
FNB,3,0
FNB,4,0
FNB,5,0
FNB,6,0
FNB,7,0
ABSA,1,0
ABSA,2,0
ABSA,3,0
ABSA,4,0
ABSA,5,0
ABSA,6,0
ABSA,7,0
Grindrod,1,0
Grindrod,2,0
Grindrod,3,0
Grindrod,4,0
Grindrod,5,0
Grindrod,6,0
Grindrod,7,0
SOCIETE,1,0
SOCIETE,2,0
SOCIETE,3,0
SOCIETE,4,0
SOCIETE,5,0
SOCIETE,6,0
SOCIETE,7,0
BNP,1,0
BNP,2,0
BNP,3,0
BNP,4,0
BNP,5,0
BNP,6,0
BNP,7,0
DB,1,-2668919219
DB,2,-174099531
DB,3,-4442049.677
DB,4,-106513.3884
DB,5,-2536.593853
DB,6,-60.36074812
DB,7,-1.436211807
BoC,1,0
BoC,2,0
BoC,3,0
BoC,4,0
BoC,5,0
BoC,6,0
BoC,7,0
JpM,1,0
JpM,2,0
JpM,3,0
JpM,4,0
JpM,5,0
JpM,6,0
JpM,7,0
CHARTERED,1,0
CHARTERED,2,0
CHARTERED,3,0
CHARTERED,4,0
CHARTERED,5,0
CHARTERED,6,0
CHARTERED,7,0
SBSA,1,0
SBSA,2,0
SBSA,3,0
SBSA,4,0
SBSA,5,0
SBSA,6,0
SBSA,7,0
