,Total_assets HF,Invshares HF,CB HF,Cash HF,Repo HF,GB HF,Total_liabilities HF,net_income HF,current_step
0,108.0,70.0,58.0,10.0,38.0,40.0,108.0,0.0,0
0,110.36,72.36,59.2674074074,10.2185185185,38.0,40.8740740741,110.36,2.36,1
0,112.72,74.72,60.5348148148,10.437037037,38.0,41.7481481481,112.72,2.36,2
0,115.08,77.08,61.8022222222,10.6555555556,38.0,42.6222222222,115.08,2.36,3
0,117.44,79.44,63.0696296296,10.8740740741,38.0,43.4962962963,117.44,2.36,4
0,119.8,81.8,64.337037037,11.0925925926,38.0,44.3703703704,119.8,2.36,5
0,122.16,84.16,65.6044444444,11.3111111111,38.0,45.2444444444,122.16,2.36,6
0,124.52,86.52,66.8718518519,11.5296296296,38.0,46.1185185185,124.52,2.36,7
0,126.88,88.88,68.1392592593,11.7481481481,38.0,46.9925925926,126.88,2.36,8
0,129.24,91.24,69.4066666667,11.9666666667,38.0,47.8666666667,129.24,2.36,9
