,Total_assets MMF,Invshares MMF,Cash MMF,Reverse_repo MMF,Total_liabilities MMF,net_income MMF,current_step,Total_assets HF,Invshares HF,CB HF,Cash HF,Repo HF,GB HF,Total_liabilities HF,net_income HF,current_step,Liabilities cbank,Total_liabilities cbank,Total_assets cbank,CB cbank,Deposits cbank,Cash cbank,GB cbank,Equity cbank,Loans cbank,net_income cbank,current_step,HHIO IC,Total_assets IC,CB IC,Cash IC,PAD IC,GB IC,Equity IC,Total_liabilities IC,net_income IC,current_step,HHPO PF,Total_assets PF,CB PF,Equity PF,Cash PF,Repo PF,GB PF,Annuity PF,Total_liabilities PF,net_income PF,current_step,Total_assets dealer,CB dealer,Cash dealer,Repo dealer,PAD dealer,GB dealer,Reverse_repo dealer,Equity dealer,Total_liabilities dealer,net_income dealer,current_step
0,81.25,81.25,10.0,71.25,81.25,0.0,0,108.0,70.0,58.0,10.0,38.0,40.0,108.0,0.0,0,50.0,86.0,86.0,6.0,50.0,15.0,5.0,36.0,30.0,0.0,0,100.0,140.0,50.0,10.0,0.0,80.0,40.0,140.0,0.0,0,70.0,79.5,50.0,0.0,10.0,9.5,19.5,0.0,79.5,0.0,0,126.25,20.0,10.0,71.25,0.0,48.75,47.5,55.0,126.25,0.0,0
0,82.675,82.675,11.425,71.25,82.675,1.425,1,110.36,72.36,59.2674074074,10.2185185185,38.0,40.8740740741,110.36,2.36,1,50.0,85.94,85.94,5.99581395349,50.0,14.9895348837,4.99651162791,35.94,30.0,-0.06,1,102.0,143.6,51.2857142857,10.2571428571,0.0,82.0571428571,41.6,143.6,3.6,1,71.4,81.7,51.3836477987,0.8,10.2767295597,9.5,20.0396226415,0.0,81.7,2.2,1,127.55,20.3301587302,10.1650793651,71.25,1.3,49.5547619048,47.5,56.3,127.55,1.3,1
0,84.1,84.1,12.85,71.25,84.1,1.425,2,112.72,74.72,60.5348148148,10.437037037,38.0,41.7481481481,112.72,2.36,2,50.0,85.88,85.88,5.99162790698,50.0,14.9790697674,4.99302325581,35.88,30.0,-0.06,2,104.04,147.2,52.5714285714,10.5142857143,0.0,84.1142857143,43.16,147.2,3.6,2,72.828,83.9,52.7672955975,1.572,10.5534591195,9.5,20.579245283,0.0,83.9,2.2,2,128.85,20.6603174603,10.3301587302,71.25,1.3,50.3595238095,47.5,57.6,128.85,1.3,2
0,85.525,85.525,14.275,71.25,85.525,1.425,3,115.08,77.08,61.8022222222,10.6555555556,38.0,42.6222222222,115.08,2.36,3,50.0,85.82,85.82,5.98744186047,50.0,14.9686046512,4.98953488372,35.82,30.0,-0.06,3,106.1208,150.8,53.8571428571,10.7714285714,0.0,86.1714285714,44.6792,150.8,3.6,3,74.28456,86.1,54.1509433962,2.31544,10.8301886792,9.5,21.1188679245,0.0,86.1,2.2,3,130.15,20.9904761905,10.4952380952,71.25,1.3,51.1642857143,47.5,58.9,130.15,1.3,3
0,86.95,86.95,15.7,71.25,86.95,1.425,4,117.44,79.44,63.0696296296,10.8740740741,38.0,43.4962962963,117.44,2.36,4,50.0,85.76,85.76,5.98325581395,50.0,14.9581395349,4.98604651163,35.76,30.0,-0.06,4,108.243216,154.4,55.1428571429,11.0285714286,0.0,88.2285714286,46.156784,154.4,3.6,4,75.7702512,88.3,55.534591195,3.0297488,11.106918239,9.5,21.658490566,0.0,88.3,2.2,4,131.45,21.3206349206,10.6603174603,71.25,1.3,51.969047619,47.5,60.2,131.45,1.3,4
0,88.375,88.375,17.125,71.25,88.375,1.425,5,119.8,81.8,64.337037037,11.0925925926,38.0,44.3703703704,119.8,2.36,5,50.0,85.7,85.7,5.97906976744,50.0,14.9476744186,4.98255813953,35.7,30.0,-0.06,5,110.40808032,158.0,56.4285714286,11.2857142857,0.0,90.2857142857,47.59191968,158.0,3.6,5,77.285656224,90.5,56.9182389937,3.714343776,11.3836477987,9.5,22.1981132075,0.0,90.5,2.2,5,132.75,21.6507936508,10.8253968254,71.25,1.3,52.7738095238,47.5,61.5,132.75,1.3,5
0,89.8,89.8,18.55,71.25,89.8,1.425,6,122.16,84.16,65.6044444444,11.3111111111,38.0,45.2444444444,122.16,2.36,6,50.0,85.64,85.64,5.97488372093,50.0,14.9372093023,4.97906976744,35.64,30.0,-0.06,6,112.616241926,161.6,57.7142857143,11.5428571429,0.0,92.3428571429,48.9837580736,161.6,3.6,6,78.8313693485,92.7,58.3018867925,4.36863065152,11.6603773585,9.5,22.7377358491,0.0,92.7,2.2,6,134.05,21.980952381,10.9904761905,71.25,1.3,53.5785714286,47.5,62.8,134.05,1.3,6
0,91.225,91.225,19.975,71.25,91.225,1.425,7,124.52,86.52,66.8718518519,11.5296296296,38.0,46.1185185185,124.52,2.36,7,50.0,85.58,85.58,5.97069767442,50.0,14.926744186,4.97558139535,35.58,30.0,-0.06,7,114.868566765,165.2,59.0,11.8,0.0,94.4,50.3314332351,165.2,3.6,7,80.4079967354,94.9,59.6855345912,4.99200326455,11.9371069182,9.5,23.2773584906,0.0,94.9,2.2,7,135.35,22.3111111111,11.1555555556,71.25,1.3,54.3833333333,47.5,64.1,135.35,1.3,7
0,92.65,92.65,21.4,71.25,92.65,1.425,8,126.88,88.88,68.1392592593,11.7481481481,38.0,46.9925925926,126.88,2.36,8,50.0,85.52,85.52,5.96651162791,50.0,14.9162790698,4.97209302326,35.52,30.0,-0.06,8,117.1659381,168.8,60.2857142857,12.0571428571,0.0,96.4571428571,51.6340618998,168.8,3.6,8,82.0161566702,97.1,61.0691823899,5.58384332984,12.213836478,9.5,23.8169811321,0.0,97.1,2.2,8,136.65,22.6412698413,11.3206349206,71.25,1.3,55.1880952381,47.5,65.4,136.65,1.3,8
0,94.075,94.075,22.825,71.25,94.075,1.425,9,129.24,91.24,69.4066666667,11.9666666667,38.0,47.8666666667,129.24,2.36,9,50.0,85.46,85.46,5.9623255814,50.0,14.9058139535,4.96860465116,35.46,30.0,-0.06,9,119.509256862,172.4,61.5714285714,12.3142857143,0.0,98.5142857143,52.8907431378,172.4,3.6,9,83.6564798036,99.3,62.4528301887,6.14352019644,12.4905660377,9.5,24.3566037736,0.0,99.3,2.2,9,137.95,22.9714285714,11.4857142857,71.25,1.3,55.9928571429,47.5,66.7,137.95,1.3,9
